name,Gun,Knife,Wrench,Pliers,Scissors
P00001,-1,1,-1,-1,-1
P00002,1,1,-1,-1,-1
P00003,-1,1,-1,-1,-1
P00005,-1,1,-1,-1,-1
P00007,-1,1,-1,-1,-1
P00008,-1,1,-1,-1,-1
P00009,-1,1,-1,-1,-1
P00011,-1,1,-1,-1,-1
P00012,-1,1,-1,-1,-1
P00013,1,1,-1,-1,-1
P00014,-1,1,-1,-1,-1
P00015,-1,1,-1,-1,-1
P00016,-1,1,-1,-1,-1
P00017,-1,1,-1,-1,-1
P00018,-1,1,-1,-1,-1
P00020,-1,1,-1,-1,-1
P00022,-1,1,-1,-1,-1
P00023,-1,1,-1,-1,-1
P00025,-1,1,-1,-1,-1
P00026,-1,1,-1,-1,-1
P00027,1,1,-1,-1,-1
P00028,-1,1,-1,-1,-1
P00029,-1,1,-1,-1,-1
P00032,-1,1,-1,-1,-1
P00033,-1,1,-1,-1,-1
P00035,-1,1,-1,-1,-1
P00036,-1,1,-1,-1,-1
P00037,1,1,-1,-1,-1
P00038,-1,1,-1,-1,-1
P00039,-1,1,-1,-1,-1
P00040,-1,1,-1,-1,-1
P00042,-1,1,-1,-1,-1
P00043,-1,1,-1,-1,-1
P00044,-1,1,-1,-1,-1
P00045,1,1,-1,-1,-1
P00046,-1,1,-1,-1,-1
P00047,-1,1,-1,-1,-1
P00048,-1,1,-1,-1,-1
P00049,-1,1,-1,-1,-1
P00050,-1,1,-1,-1,-1
P00051,-1,1,-1,-1,-1
P00052,-1,1,-1,-1,-1
P00056,-1,1,-1,-1,-1
P00057,-1,1,-1,-1,-1
P00058,-1,1,-1,-1,-1
P00059,-1,1,-1,-1,-1
P00060,-1,1,-1,-1,-1
P00061,-1,1,-1,-1,-1
P00062,-1,1,-1,-1,-1
P00063,1,1,-1,-1,-1
P00064,-1,1,-1,-1,-1
P00065,-1,1,-1,-1,-1
P00067,-1,1,-1,-1,-1
P00068,-1,1,-1,-1,-1
P00070,-1,1,-1,-1,-1
P00071,-1,1,-1,-1,-1
P00073,-1,1,-1,-1,-1
P00074,-1,1,-1,-1,-1
P00078,-1,1,-1,-1,-1
P00079,-1,1,-1,-1,-1
P00080,-1,1,-1,-1,-1
P00081,-1,1,-1,-1,-1
P00082,-1,1,-1,-1,-1
P00084,-1,1,-1,-1,-1
P00086,-1,1,-1,-1,-1
P00087,-1,1,-1,-1,-1
P00088,-1,1,-1,-1,-1
P00089,-1,1,-1,-1,-1
P00090,-1,1,-1,-1,-1
P00091,-1,1,-1,-1,-1
P00095,-1,1,-1,-1,-1
P00096,-1,1,-1,-1,-1
P00097,-1,1,-1,-1,-1
P00098,-1,1,-1,-1,-1
P00099,1,1,-1,-1,-1
P00100,-1,1,-1,-1,-1
P00102,-1,1,-1,-1,-1
P00103,-1,1,-1,-1,-1
P00106,-1,1,-1,-1,-1
P00107,-1,1,-1,-1,-1
P00109,-1,1,-1,-1,-1
P00110,-1,1,-1,-1,-1
P00111,-1,1,-1,-1,-1
P00112,-1,1,-1,-1,-1
P00113,-1,1,-1,-1,-1
P00115,-1,1,-1,-1,-1
P00116,1,1,-1,-1,-1
P00118,-1,1,-1,-1,-1
P00120,-1,1,-1,-1,-1
P00121,-1,1,-1,-1,-1
P00122,-1,1,-1,-1,-1
P00124,-1,1,-1,-1,-1
P00125,-1,1,-1,-1,-1
P00126,-1,1,-1,-1,-1
P00127,-1,1,-1,-1,-1
P00133,-1,1,-1,-1,-1
P00134,-1,1,-1,-1,-1
P00135,-1,1,-1,-1,-1
P00136,-1,1,-1,-1,-1
P00137,-1,1,-1,-1,-1
P00138,-1,1,-1,-1,-1
P00139,-1,1,-1,-1,-1
P00140,-1,1,-1,-1,-1
P00142,-1,1,-1,-1,-1
P00143,-1,1,-1,-1,-1
P00145,-1,1,-1,-1,-1
P00149,-1,1,-1,-1,-1
P00151,-1,1,-1,-1,-1
P00153,1,1,-1,-1,-1
P00154,-1,1,-1,-1,-1
P00155,-1,1,-1,-1,-1
P00156,-1,1,-1,-1,-1
P00157,-1,1,-1,-1,-1
P00158,-1,1,-1,-1,-1
P00159,-1,1,-1,-1,-1
P00160,-1,1,-1,-1,-1
P00161,-1,1,-1,-1,-1
P00162,-1,1,-1,-1,-1
P00164,-1,1,-1,-1,-1
P00166,-1,1,-1,-1,-1
P00167,-1,1,-1,-1,-1
P00168,-1,1,-1,-1,-1
P00169,-1,1,-1,-1,-1
P00170,-1,1,-1,-1,-1
P00171,-1,1,-1,-1,-1
P00173,-1,1,-1,-1,-1
P00174,-1,1,-1,-1,-1
P00175,-1,1,-1,-1,-1
P00176,-1,1,-1,-1,-1
P00177,-1,1,-1,-1,-1
P00178,-1,1,-1,-1,-1
P00179,-1,1,-1,-1,-1
P00180,-1,1,-1,-1,-1
P00183,-1,1,-1,-1,-1
P00185,-1,1,-1,-1,-1
P00186,-1,1,-1,-1,-1
P00187,-1,1,-1,-1,-1
P00189,-1,1,-1,-1,-1
